Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
12,Edilson,Audax Rio,Audax Rio,"RW, LW, RAMF",RW,10,23,0,,9,598,Brazil,Brazil,,0,0,no,4.82,2.405956,3.46409,2.5585,3.762616,0.05,0.08,RJ,Testing,2024,0.3102708099463448,0.3061564373709603,0.3082136236586526
13,Clisman,Audax Rio,Audax Rio,"RW, CF",RW,10,25,0,,11,554,Brazil,Brazil,left,0,0,no,6.17,2.926224,3.574935,0.975,6.659352,0.1,0.14,RJ,Testing,2024,0.3260317513625849,0.3597282939464641,0.3428800226545244
14,Vini Moura,Volta Redonda,Volta Redonda,"RW, CF, RWF",RW,10,25,0,,9,567,Brazil,Brazil,,181,76,no,3.65,1.90348,4.760238,3.647016,3.807761999999999,0.19,0.03,RJ,Testing,2024,0.5598668149174064,0.5375225454815161,0.5486946801994612
15,Léo Silva,Volta Redonda,Volta Redonda,"RW, RCMF, LCMF",RW,10,21,0,,11,922,Brazil,Brazil,right,170,68,yes,4.98,4.001844,9.079854000000001,4.194421,2.73558,0.03,0.0,RJ,Testing,2024,0.9146246106218314,0.9302940755814696,0.9224593431016506
16,Isaac,Fluminense,Fluminense,"LAMF, LW, LWF",LAMF,10,19,0,,6,508,Brazil,Brazil,right,0,0,no,7.2,5.082000000000001,4.023107,3.598164,6.353412,0.08,0.05,RJ,Testing,2024,0.7350447771787579,0.7582266796422132,0.7466357284104856
17,Max,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"RW, CF, LW",RW,10,21,0,,12,999,Brazil,Brazil,unknown,0,0,no,3.33,1.89,2.069928,1.439928,3.873956,0.21,0.05,RJ,Testing,2024,0.0,0.0,0.0
18,Rafael Pernão,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"LW, LCMF, LWF",LW,10,30,0,,10,812,Brazil,Brazil,right,179,70,no,6.65,3.654662,6.76108,3.655584000000001,3.21441,0.07,0.06,RJ,Testing,2024,0.8495630435346874,0.8542527283467042,0.8519078859406958
19,Anderson Rosa,Portuguesa RJ,Portuguesa RJ,"RW, AMF, LW",RW,10,31,0,,12,1094,Brazil,Brazil,left,175,75,no,6.19,3.673824,5.647004999999999,2.332706,3.585336,0.07,0.08,RJ,Testing,2024,0.6167196630919404,0.6355521021814262,0.6261358826366833
20,Xandinho,Nova Iguaçu,Nova Iguaçu,"RAMF, RW",RAMF,10,26,0,,13,1054,Brazil,Brazil,right,170,65,no,5.77,3.392361,3.027428,1.74174,4.58337,0.23,0.01,RJ,Testing,2024,0.3701932108436576,0.3485342057012601,0.3593637082724589
21,Jefferson,Boavista,Boavista,"RW, LW, CF",RW,10,22,0,,12,801,Brazil,Brazil,right,178,70,no,8.65,4.267925,3.934,3.371496,6.066151,0.14,0.09,RJ,Testing,2024,0.7516836912121452,0.7632701947961447,0.7574769430041449
22,Matheus Alessandro,Boavista,Boavista,LW,LW,10,27,0,2024-04-30,10,689,Brazil,Brazil,right,171,65,no,5.75,3.786624,4.572458,2.616,5.878435999999999,0.12,0.13,RJ,Testing,2024,0.6800635518024526,0.6639484891236355,0.672006020463044
0,Wanderson,Internacional,Internacional,"LAMF, LW, LCMF",LAMF,10,29,9000000,2025-12-31,13,1018,Brazil,"Brazil, Belgium",right,176,74,no,5.59,3.088176,3.861384,3.470856,5.693547,0.29,0.12,RS,Testing,2024,0.7884807849481994,0.7838090406617111,0.7861449128049552
