Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
20,Pedro Oliveira,Democrata GV,Democrata GV,"LAMF, LW",LAMF,10,25,0,,11,969,Brazil,Brazil,right,176,68,no,1.020317,2.8768,3.437768,4.364514000000001,2.972736,0.32,0.9284600000000001,10.714,0.31,2.14,0.4666480000000001,0.558,0.84,MG,Testing,2024,1.0,1.0,1.0
0,Éverton,Flamengo,Flamengo,LW,LW,10,28,11000000,2026-06-30,10,785,Brazil,Brazil,right,174,72,no,0.69,4.238661,4.585885999999999,4.928175,3.212064,0.22,1.032926,14.286,0.39,2.06,0.460023,0.575,1.15,RJ,Testing,2024,0.9758132033424817,0.9425688401850728,0.9591910217637772
1,J. Arias,Fluminense,Fluminense,"RW, LW, LAMF",RW,10,26,8000000,2026-08-15,8,755,Colombia,Colombia,right,168,70,no,0.120024,5.838415,3.574107,7.152,3.69644,0.16,0.716,13.333,0.36,2.26,0.0,0.0,1.31,RJ,Testing,2024,0.9043365251622298,0.8630119539776563,0.8836742395699431
2,Luiz Araújo,Flamengo,Flamengo,RW,RW,10,27,6000000,,11,668,Brazil,Brazil,left,175,70,no,1.212,4.715256,4.716032,4.444705,3.36784,0.29,0.8075,4.167,0.37,1.89,0.403293,0.405,1.48,RJ,Testing,2024,0.9561809659562804,0.9358049921915294,0.9459929790739049
3,Bruno Henrique,Flamengo,Flamengo,"LW, LAMF, RW",LW,10,33,3000000,,11,579,Brazil,Brazil,right,184,77,no,0.31,3.732476,2.79483,4.354566999999999,2.954178,0.51,0.778125,6.25,0.11,1.09,0.0,0.155,0.16,RJ,Testing,2024,0.5217923159045287,0.4395404174203421,0.4806663666624354
4,D. Payet,Vasco da Gama,Vasco da Gama,"LW, AMF, LWF",LW,10,36,2000000,2024-06-30,10,928,Réunion,"Réunion, France",right,175,77,no,1.844829,7.273903000000001,5.431179000000001,4.851978,2.325,0.25,0.777104,7.143,0.41,2.91,0.388,0.485656,1.07,RJ,Testing,2024,1.0,1.0,1.0
5,Junior Santos,Botafogo,Botafogo,"RW, RWF, RWB",RW,10,29,600000,2025-12-31,12,856,Brazil,Brazil,right,188,85,no,0.9491119999999998,3.367399,2.839154,5.46612,3.15262,0.36,1.577904,18.519,0.08,0.84,0.0,0.0,0.53,RJ,Testing,2024,0.6635062917426672,0.5834522044218093,0.6234792480822382
6,Bill,Nova Iguaçu,Nova Iguaçu,"LAMF, LW, AMF",LAMF,10,24,250000,,13,1185,Brazil,Brazil,right,175,68,no,1.838966,6.184779,5.2675,4.1772,2.506905,0.23,1.001396,13.793,0.27,1.84,0.5000249999999999,0.5,0.75,RJ,Testing,2024,0.9529466150145435,0.963181882931539,0.9580642489730412
7,Romarinho,Portuguesa RJ,Portuguesa RJ,"RW, LW, LAMF",RW,10,30,150000,,10,840,Brazil,Brazil,left,170,61,no,0.72,3.599904000000001,1.679904,3.36006,0.24,0.21,0.72006,18.182,0.04,0.36,0.12,0.120024,0.12,RJ,Testing,2024,0.0,0.0,0.0
8,Hugo Borges,Madureira,Madureira,"LW, LWF, LAMF",LW,10,26,125000,,10,790,Brazil,Brazil,right,176,73,no,1.936649,5.922493999999999,5.242391,3.188296,1.482,0.38,1.59449,2.778,0.14,1.25,0.343299,0.456,0.57,RJ,Testing,2024,0.7995895147499191,0.804191664031877,0.8018905893908981
