Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
16,Bernardo Schappo,Botafogo SP,Botafogo SP,LCB,LCB,4,24,750000,2026-12-31,12,1204,Brazil,"Brazil, Luxembourg",left,191,85,yes,8.45,3.287268,4.486244,0.37,6.31,12.784824,SP,Testing,2024,0.3699037133369079,0.3518370549426236,0.3608703841397657
17,Rafael Forster,São Bernardo FC,São Bernardo FC,"LCB, CB",LCB,4,33,700000,,8,649,Brazil,Brazil,left,184,75,no,8.32,3.33,1.664223,0.69,5.67,16.917525,SP,Testing,2024,0.433432753858238,0.3729305023886981,0.403181628123468
18,Joaquim,Santos,Santos,"LCB, RCB",LCB,4,25,700000,2026-12-31,14,1342,Brazil,Brazil,right,190,82,no,6.64,2.550088,5.299970000000001,0.4,5.83,16.767261,SP,Testing,2024,0.2524016597689647,0.2603738341886149,0.2563877469787897
19,L. Haquín,Ponte Preta,Ponte Preta,"CB, RCB",CB,4,26,475000,,6,596,Bolivia,Bolivia,right,190,76,no,7.1,2.868372,1.510533,0.45,4.7,10.717615,SP,Testing,2024,0.0,0.0,0.0
20,Chico,Grêmio Novorizontino,Grêmio Novorizontino,LCB,LCB,4,25,400000,2024-12-31,13,1221,Brazil,Brazil,left,188,80,yes,9.07,4.351984,1.472823,0.37,5.58,11.280038,SP,Testing,2024,0.3337768524167313,0.2925067003097506,0.3131417763632409
21,Fábio Sanches,Botafogo SP,Botafogo SP,"CB, RCB",CB,4,33,300000,,7,533,Brazil,Brazil,right,186,85,no,6.25,1.85625,0.676599,0.34,5.07,16.551128,SP,Testing,2024,0.1114870945352799,0.06463251681789654,0.08805980567658823
22,Lucas Gazal,Mirassol,Mirassol,RCB,RCB,4,24,300000,2025-12-31,12,1177,Brazil,Brazil,right,187,86,yes,5.43,1.832796,1.991074,0.31,5.23,30.971122,SP,Testing,2024,0.4535679995624011,0.4405967141988079,0.4470823568806044
23,Nilson Júnior,Ponte Preta,Ponte Preta,LCB,LCB,4,32,250000,2024-06-30,7,553,Brazil,Brazil,left,190,73,no,9.93,4.881688,1.463462,0.33,5.09,5.529246,SP,Testing,2024,0.4164516513508504,0.3227289113026571,0.3695902813267538
24,Y. Quintana,Portuguesa,Portuguesa,"RCB, CB",RCB,4,27,250000,,12,1107,Uruguay,Uruguay,right,196,92,no,7.97,3.417468,3.90438,0.24,5.47,12.03048,SP,Testing,2024,0.2531428292282109,0.2324983450738527,0.2428205871510318
25,Renato Palm,Grêmio Novorizontino,Grêmio Novorizontino,"CB, RCB",CB,4,32,250000,2024-04-30,10,826,Brazil,Brazil,right,190,89,no,9.15,3.924804,3.161,0.76,6.03,17.436951,SP,Testing,2024,0.5509670101244102,0.5292164849038753,0.5400917475141427
26,Lucas Dias,Botafogo SP,Botafogo SP,"CB, RCB",CB,4,28,200000,2024-12-05,12,1085,Brazil,Brazil,right,191,82,no,8.63,2.657573999999999,1.411,0.75,7.01,11.860074,SP,Testing,2024,0.2796515536917687,0.2717816785122684,0.2757166161020185
27,Rayan,Guarani,Guarani,"LCB, CB",LCB,4,34,150000,,11,1104,Brazil,Brazil,left,185,75,no,6.52,1.791396,2.688,0.65,5.98,18.262608,SP,Testing,2024,0.2856755429553959,0.2865415257025896,0.2861085343289927
28,Wálber,Água Santa,Água Santa,"RCB, LCB",RCB,4,26,150000,2024-12-31,10,997,Brazil,Brazil,right,186,80,no,7.31,2.797092,1.53643,0.54,6.26,21.578385,SP,Testing,2024,0.4272858244213929,0.4298303650888412,0.428558094755117
29,Mateus Silva,Ponte Preta,Ponte Preta,"RCB, LCB, CB",RCB,4,28,150000,,7,680,Brazil,Brazil,right,192,92,no,7.81,1.982688,1.849368,0.4,6.15,13.098144,SP,Testing,2024,0.19697976073638,0.1684215341279369,0.1827006474321584
30,João Vialle,Ituano,Ituano,"RCB, LCB",RCB,4,21,150000,2024-12-31,11,830,Brazil,Brazil,right,184,81,no,9.49,3.40474,1.459367,0.73,7.42,16.41941,SP,Testing,2024,0.5736382720717799,0.5578975419351521,0.5657679070034659
31,Pedro Carrerette,São Bernardo FC,São Bernardo FC,"LCB, RCB",LCB,4,25,100000,,7,655,Brazil,Brazil,right,188,88,no,7.58,3.033922,1.325,0.76,4.78,10.993419,SP,Testing,2024,0.07150475427454134,0.05621246786596489,0.0638586110702531
32,Jhonnathan,Água Santa,Água Santa,LCB,LCB,4,23,100000,2026-04-30,7,648,Brazil,Brazil,left,186,84,yes,8.47,3.614797,1.389432,1.11,7.34,29.99759,SP,Testing,2024,0.8450593338927483,0.8994241954411836,0.8722417646669658
33,Luiz Gustavo,Santo André,Santo André,LCB,LCB,4,30,50000,,6,550,Brazil,Brazil,right,182,67,no,9.16,3.1059,2.61545,0.49,7.66,18.488418,SP,Testing,2024,0.6362698126834299,0.6192047100284956,0.6277372613559626
34,Afonso,Santo André,Santo André,"RCB, LCB, CB",RCB,4,30,50000,2024-05-31,10,915,Brazil,Brazil,right,186,89,no,7.57,2.850540000000001,1.673856,0.39,5.54,13.177666,SP,Testing,2024,0.1739797807876132,0.1509285315361423,0.1624541561618777
35,Alan Santos,São Bernardo FC,São Bernardo FC,CB,CB,4,32,50000,,10,808,Brazil,Brazil,right,184,78,no,9.96,4.644465,1.698,0.91,6.14,20.943481,SP,Testing,2024,0.6055998195703332,0.6317028212372838,0.6186513204038084
36,Marcel Scalese,Ituano,Ituano,LCB,LCB,4,27,50000,2024-04-15,8,617,Brazil,Brazil,left,190,83,no,8.2,4.27056,1.70625,0.51,5.23,22.368696,SP,Testing,2024,0.5452176588560267,0.5136992763426592,0.5294584675993429
37,Caetano,Corinthians,Corinthians,"LCB, LB",LCB,4,24,0,2024-12-31,9,733,Brazil,Brazil,left,182,80,no,8.84,3.313125,0.737106,0.61,7.64,22.099797,SP,Testing,2024,0.6587696183991978,0.6751197683335795,0.6669446933663885
38,Hélder Maciel,São Bernardo FC,São Bernardo FC,RCB,RCB,4,33,0,2025-04-10,11,1058,Brazil,Brazil,right,188,82,no,9.53,3.796008,2.56116,0.31,6.55,14.862049,SP,Testing,2024,0.509895816863188,0.4967434319545917,0.5033196244088898
39,Castro,Ponte Preta,Ponte Preta,"RCB, LCB",RCB,4,29,0,,12,1001,Brazil,Brazil,,0,0,no,8.54,3.240162,2.07,0.63,5.68,9.62065,SP,Testing,2024,0.1933417327607947,0.1792383560577565,0.1862900444092756
40,Diego Jussani,Inter de Limeira,Inter de Limeira,RCB,RCB,4,36,0,,12,1143,Brazil,Brazil,right,189,85,no,9.57,3.332034999999999,2.64892,0.43,6.56,20.255262,SP,Testing,2024,0.5954977865717133,0.6169440805631498,0.6062209335674315
41,Maurício,Inter de Limeira,Inter de Limeira,LCB,LCB,4,32,0,2024-09-30,11,1039,Brazil,Brazil,left,185,80,no,6.35,3.223552,1.519905,0.28,3.94,20.577086,SP,Testing,2024,0.3285118013870056,0.2948863864486538,0.3116990939178297
42,Vitão,Ituano,Ituano,"LCB, CB, RCB",LCB,4,23,0,2024-06-30,6,556,Brazil,Brazil,right,194,81,yes,13.76,5.015819,2.754,0.65,9.3,18.780933,SP,Testing,2024,1.0,1.0,1.0
43,Patrick,Portuguesa,Portuguesa,LCB,LCB,4,24,0,,11,1098,Brazil,Brazil,,0,0,no,7.13,2.620492,3.194395,1.07,5.55,13.280669,SP,Testing,2024,0.1550532762012077,0.1579417970359645,0.1564975366185861
44,Robson,Portuguesa,Portuguesa,CB,CB,4,30,0,2024-11-30,7,614,Brazil,Brazil,right,185,85,no,8.21,2.49326,2.344509,0.15,6.13,13.636077,SP,Testing,2024,0.2915926221398191,0.2487342776018978,0.2701634498708584
45,Luis Fellipe,Grêmio Novorizontino,Grêmio Novorizontino,RCB,RCB,4,20,0,,9,825,Brazil,Brazil,right,192,74,no,8.18,3.926442,2.507109,0.22,5.16,14.06874,SP,Testing,2024,0.3114827540729334,0.302056990083354,0.3067698720781437
